YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION for ELECTRICITY
1990,AK,Total Electric Power Industry,Coal,404871
1990,AK,Total Electric Power Industry,Petroleum,961837
1990,AK,Total Electric Power Industry,Natural Gas,42764948
1990,AK,"Electric Generators, Electric Utilities",Coal,290182
1990,AK,"Electric Generators, Electric Utilities",Petroleum,657706
1990,AK,"Electric Generators, Electric Utilities",Natural Gas,34366142
1990,AK,"Combined Heat and Power, Commercial Power",Coal,114689
1990,AK,"Combined Heat and Power, Commercial Power",Petroleum,112409
1990,AK,"Combined Heat and Power, Industrial Power",Petroleum,191722
1990,AK,"Combined Heat and Power, Industrial Power",Natural Gas,8398806
1990,AL,Total Electric Power Industry,Coal,22242353
1990,AL,Total Electric Power Industry,Petroleum,249875
1990,AL,Total Electric Power Industry,Natural Gas,10401790
1990,AL,Total Electric Power Industry,Other Gases (Billion BTU),3473
1990,AL,"Electric Generators, Electric Utilities",Coal,22010160
1990,AL,"Electric Generators, Electric Utilities",Petroleum,132744
1990,AL,"Electric Generators, Electric Utilities",Natural Gas,4090291
1990,AL,"Combined Heat and Power, Electric Power",Coal,16681
1990,AL,"Combined Heat and Power, Electric Power",Natural Gas,320132
1990,AL,"Combined Heat and Power, Industrial Power",Coal,215512
1990,AL,"Combined Heat and Power, Industrial Power",Petroleum,117131
1990,AL,"Combined Heat and Power, Industrial Power",Natural Gas,5991367
1990,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),3473
1990,AR,Total Electric Power Industry,Coal,11864395
1990,AR,Total Electric Power Industry,Petroleum,169098
1990,AR,Total Electric Power Industry,Natural Gas,47846352
1990,AR,"Electric Generators, Electric Utilities",Coal,11835959
1990,AR,"Electric Generators, Electric Utilities",Petroleum,154987
1990,AR,"Electric Generators, Electric Utilities",Natural Gas,32090488
1990,AR,"Combined Heat and Power, Commercial Power",Petroleum,3131
1990,AR,"Combined Heat and Power, Commercial Power",Natural Gas,311753
1990,AR,"Combined Heat and Power, Industrial Power",Coal,28436
1990,AR,"Combined Heat and Power, Industrial Power",Petroleum,10980
1990,AR,"Combined Heat and Power, Industrial Power",Natural Gas,15444111
1990,AZ,Total Electric Power Industry,Coal,15898916
1990,AZ,Total Electric Power Industry,Petroleum,258220
1990,AZ,Total Electric Power Industry,Natural Gas,24942405
1990,AZ,"Electric Generators, Electric Utilities",Coal,15758367
1990,AZ,"Electric Generators, Electric Utilities",Petroleum,210097
1990,AZ,"Electric Generators, Electric Utilities",Natural Gas,24277944
1990,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2661
1990,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,292670
1990,AZ,"Combined Heat and Power, Industrial Power",Coal,140549
1990,AZ,"Combined Heat and Power, Industrial Power",Petroleum,45462
1990,AZ,"Combined Heat and Power, Industrial Power",Natural Gas,371791
1990,CA,Total Electric Power Industry,Coal,1251133
1990,CA,Total Electric Power Industry,Petroleum,9288962
1990,CA,Total Electric Power Industry,Natural Gas,667785646
1990,CA,Total Electric Power Industry,Other Gases (Billion BTU),14375
1990,CA,"Electric Generators, Electric Utilities",Petroleum,7357836
1990,CA,"Electric Generators, Electric Utilities",Natural Gas,456405669
1990,CA,"Electric Generators, Independent Power Producers",Coal,90140
1990,CA,"Electric Generators, Independent Power Producers",Petroleum,878400
1990,CA,"Electric Generators, Independent Power Producers",Natural Gas,4355000
1990,CA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),4
1990,CA,"Combined Heat and Power, Electric Power",Coal,759452
1990,CA,"Combined Heat and Power, Electric Power",Petroleum,15634
1990,CA,"Combined Heat and Power, Electric Power",Natural Gas,118481772
1990,CA,"Combined Heat and Power, Commercial Power",Petroleum,17555
1990,CA,"Combined Heat and Power, Commercial Power",Natural Gas,11789203
1990,CA,"Combined Heat and Power, Commercial Power",Other Gases (Billion BTU),1231
1990,CA,"Combined Heat and Power, Industrial Power",Coal,401541
1990,CA,"Combined Heat and Power, Industrial Power",Petroleum,1019537
1990,CA,"Combined Heat and Power, Industrial Power",Natural Gas,76754002
1990,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),13140
1990,CO,Total Electric Power Industry,Coal,16019294
1990,CO,Total Electric Power Industry,Petroleum,54167
1990,CO,Total Electric Power Industry,Natural Gas,12401451
1990,CO,"Electric Generators, Electric Utilities",Coal,15923695
1990,CO,"Electric Generators, Electric Utilities",Petroleum,49935
1990,CO,"Electric Generators, Electric Utilities",Natural Gas,5485414
1990,CO,"Electric Generators, Independent Power Producers",Natural Gas,1214000
1990,CO,"Combined Heat and Power, Electric Power",Coal,95599
1990,CO,"Combined Heat and Power, Electric Power",Natural Gas,5123445
1990,CO,"Combined Heat and Power, Industrial Power",Petroleum,4232
1990,CO,"Combined Heat and Power, Industrial Power",Natural Gas,578592
1990,CT,Total Electric Power Industry,Coal,1455002
1990,CT,Total Electric Power Industry,Petroleum,14515654
1990,CT,Total Electric Power Industry,Natural Gas,11201180
1990,CT,Total Electric Power Industry,Other Gases (Billion BTU),0
1990,CT,"Electric Generators, Electric Utilities",Coal,957657
1990,CT,"Electric Generators, Electric Utilities",Petroleum,14090189
1990,CT,"Electric Generators, Electric Utilities",Natural Gas,4842691
1990,CT,"Combined Heat and Power, Electric Power",Coal,497345
1990,CT,"Combined Heat and Power, Electric Power",Petroleum,64767
1990,CT,"Combined Heat and Power, Electric Power",Natural Gas,5443480
1990,CT,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),0
1990,CT,"Combined Heat and Power, Commercial Power",Petroleum,39057
1990,CT,"Combined Heat and Power, Commercial Power",Natural Gas,850732
1990,CT,"Combined Heat and Power, Industrial Power",Petroleum,321641
1990,CT,"Combined Heat and Power, Industrial Power",Natural Gas,64277
1990,DC,Total Electric Power Industry,Coal,0
1990,DC,Total Electric Power Industry,Petroleum,870797
1990,DC,"Electric Generators, Electric Utilities",Petroleum,870797
1990,DC,"Combined Heat and Power, Commercial Power",Coal,0
1990,DE,Total Electric Power Industry,Coal,2186303
1990,DE,Total Electric Power Industry,Petroleum,4266440
1990,DE,Total Electric Power Industry,Natural Gas,10803181
1990,DE,Total Electric Power Industry,Other Gases (Billion BTU),1985
1990,DE,"Electric Generators, Electric Utilities",Coal,2056359
1990,DE,"Electric Generators, Electric Utilities",Petroleum,3509696
1990,DE,"Electric Generators, Electric Utilities",Natural Gas,10775808
1990,DE,"Combined Heat and Power, Industrial Power",Coal,129944
1990,DE,"Combined Heat and Power, Industrial Power",Petroleum,756744
1990,DE,"Combined Heat and Power, Industrial Power",Natural Gas,27373
1990,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),1985
1990,FL,Total Electric Power Industry,Coal,24458736
1990,FL,Total Electric Power Industry,Petroleum,41401921
1990,FL,Total Electric Power Industry,Natural Gas,200576189
1990,FL,"Electric Generators, Electric Utilities",Coal,24022157
1990,FL,"Electric Generators, Electric Utilities",Petroleum,40620360
1990,FL,"Electric Generators, Electric Utilities",Natural Gas,189148212
1990,FL,"Electric Generators, Independent Power Producers",Petroleum,3810
1990,FL,"Electric Generators, Independent Power Producers",Natural Gas,16780
1990,FL,"Combined Heat and Power, Electric Power",Coal,272280
1990,FL,"Combined Heat and Power, Electric Power",Petroleum,7222
1990,FL,"Combined Heat and Power, Commercial Power",Petroleum,10778
1990,FL,"Combined Heat and Power, Commercial Power",Natural Gas,1989906
1990,FL,"Combined Heat and Power, Industrial Power",Coal,164299
1990,FL,"Combined Heat and Power, Industrial Power",Petroleum,759751
1990,FL,"Combined Heat and Power, Industrial Power",Natural Gas,9421291
1990,GA,Total Electric Power Industry,Coal,28228783
1990,GA,Total Electric Power Industry,Petroleum,1021591
1990,GA,Total Electric Power Industry,Natural Gas,7667165
1990,GA,"Electric Generators, Electric Utilities",Coal,27812391
1990,GA,"Electric Generators, Electric Utilities",Petroleum,332943
1990,GA,"Electric Generators, Electric Utilities",Natural Gas,1932073
1990,GA,"Electric Generators, Independent Power Producers",Petroleum,30
1990,GA,"Electric Generators, Independent Power Producers",Natural Gas,140
1990,GA,"Combined Heat and Power, Commercial Power",Petroleum,4267
1990,GA,"Combined Heat and Power, Commercial Power",Natural Gas,1540
1990,GA,"Combined Heat and Power, Industrial Power",Coal,416392
1990,GA,"Combined Heat and Power, Industrial Power",Petroleum,684351
1990,GA,"Combined Heat and Power, Industrial Power",Natural Gas,5733412
1990,HI,Total Electric Power Industry,Coal,2013
1990,HI,Total Electric Power Industry,Petroleum,16033262
1990,HI,Total Electric Power Industry,Other Gases (Billion BTU),211
1990,HI,"Electric Generators, Electric Utilities",Petroleum,13769448
1990,HI,"Electric Generators, Independent Power Producers",Petroleum,34680
1990,HI,"Combined Heat and Power, Electric Power",Coal,839
1990,HI,"Combined Heat and Power, Electric Power",Petroleum,1629135
1990,HI,"Combined Heat and Power, Industrial Power",Coal,1174
1990,HI,"Combined Heat and Power, Industrial Power",Petroleum,599999
1990,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),211
1990,IA,Total Electric Power Industry,Coal,15922186
1990,IA,Total Electric Power Industry,Petroleum,134131
1990,IA,Total Electric Power Industry,Natural Gas,5331961
1990,IA,"Electric Generators, Electric Utilities",Coal,15330517
1990,IA,"Electric Generators, Electric Utilities",Petroleum,122830
1990,IA,"Electric Generators, Electric Utilities",Natural Gas,3478355
1990,IA,"Electric Generators, Independent Power Producers",Petroleum,650
1990,IA,"Electric Generators, Independent Power Producers",Natural Gas,40000
1990,IA,"Combined Heat and Power, Electric Power",Coal,91740
1990,IA,"Combined Heat and Power, Electric Power",Natural Gas,378268
1990,IA,"Combined Heat and Power, Commercial Power",Coal,4499
1990,IA,"Combined Heat and Power, Commercial Power",Petroleum,532
1990,IA,"Combined Heat and Power, Commercial Power",Natural Gas,42233
1990,IA,"Combined Heat and Power, Industrial Power",Coal,495430
1990,IA,"Combined Heat and Power, Industrial Power",Petroleum,10119
1990,IA,"Combined Heat and Power, Industrial Power",Natural Gas,1393105
1990,ID,Total Electric Power Industry,Coal,30719
1990,ID,Total Electric Power Industry,Petroleum,2325
1990,ID,Total Electric Power Industry,Natural Gas,733221
1990,ID,"Electric Generators, Electric Utilities",Petroleum,1585
1990,ID,"Combined Heat and Power, Industrial Power",Coal,30719
1990,ID,"Combined Heat and Power, Industrial Power",Petroleum,740
1990,ID,"Combined Heat and Power, Industrial Power",Natural Gas,733221
1990,IL,Total Electric Power Industry,Coal,28033010
1990,IL,Total Electric Power Industry,Petroleum,2155575
1990,IL,Total Electric Power Industry,Natural Gas,17822267
1990,IL,Total Electric Power Industry,Other Gases (Billion BTU),4279
1990,IL,"Electric Generators, Electric Utilities",Coal,27395596
1990,IL,"Electric Generators, Electric Utilities",Petroleum,2112697
1990,IL,"Electric Generators, Electric Utilities",Natural Gas,9089039
1990,IL,"Electric Generators, Independent Power Producers",Petroleum,140
1990,IL,"Combined Heat and Power, Electric Power",Natural Gas,100414
1990,IL,"Combined Heat and Power, Commercial Power",Petroleum,0
1990,IL,"Combined Heat and Power, Commercial Power",Natural Gas,621756
1990,IL,"Combined Heat and Power, Industrial Power",Coal,637414
1990,IL,"Combined Heat and Power, Industrial Power",Petroleum,42738
1990,IL,"Combined Heat and Power, Industrial Power",Natural Gas,8011058
1990,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),4279
1990,IN,Total Electric Power Industry,Coal,48099024
1990,IN,Total Electric Power Industry,Petroleum,1763063
1990,IN,Total Electric Power Industry,Natural Gas,16908209
1990,IN,Total Electric Power Industry,Other Gases (Billion BTU),20600
1990,IN,"Electric Generators, Electric Utilities",Coal,47653856
1990,IN,"Electric Generators, Electric Utilities",Petroleum,1379263
1990,IN,"Electric Generators, Electric Utilities",Natural Gas,6632324
1990,IN,"Combined Heat and Power, Commercial Power",Coal,46823
1990,IN,"Combined Heat and Power, Commercial Power",Petroleum,961
1990,IN,"Combined Heat and Power, Commercial Power",Natural Gas,44869
1990,IN,"Combined Heat and Power, Industrial Power",Coal,398345
1990,IN,"Combined Heat and Power, Industrial Power",Petroleum,382839
1990,IN,"Combined Heat and Power, Industrial Power",Natural Gas,10231016
1990,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),20600
1990,KS,Total Electric Power Industry,Coal,15017606
1990,KS,Total Electric Power Industry,Petroleum,211573
1990,KS,Total Electric Power Industry,Natural Gas,29874775
1990,KS,"Electric Generators, Electric Utilities",Coal,15017606
1990,KS,"Electric Generators, Electric Utilities",Petroleum,151675
1990,KS,"Electric Generators, Electric Utilities",Natural Gas,27196794
1990,KS,"Combined Heat and Power, Industrial Power",Petroleum,59898
1990,KS,"Combined Heat and Power, Industrial Power",Natural Gas,2677981
1990,KY,Total Electric Power Industry,Coal,30867075
1990,KY,Total Electric Power Industry,Petroleum,212140
1990,KY,Total Electric Power Industry,Natural Gas,282503
1990,KY,"Electric Generators, Electric Utilities",Coal,30867075
1990,KY,"Electric Generators, Electric Utilities",Petroleum,212140
1990,KY,"Electric Generators, Electric Utilities",Natural Gas,282503
1990,LA,Total Electric Power Industry,Coal,11777471
1990,LA,Total Electric Power Industry,Petroleum,386787
1990,LA,Total Electric Power Industry,Natural Gas,384809349
1990,LA,Total Electric Power Industry,Other Gases (Billion BTU),3920
1990,LA,"Electric Generators, Electric Utilities",Coal,11748161
1990,LA,"Electric Generators, Electric Utilities",Petroleum,234210
1990,LA,"Electric Generators, Electric Utilities",Natural Gas,268739917
1990,LA,"Electric Generators, Independent Power Producers",Petroleum,125000
1990,LA,"Electric Generators, Independent Power Producers",Natural Gas,217900
1990,LA,"Combined Heat and Power, Electric Power",Petroleum,0
1990,LA,"Combined Heat and Power, Electric Power",Natural Gas,16368708
1990,LA,"Combined Heat and Power, Commercial Power",Natural Gas,446602
1990,LA,"Combined Heat and Power, Industrial Power",Coal,29310
1990,LA,"Combined Heat and Power, Industrial Power",Petroleum,27577
1990,LA,"Combined Heat and Power, Industrial Power",Natural Gas,99036222
1990,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),3920
1990,MA,Total Electric Power Industry,Coal,4238179
1990,MA,Total Electric Power Industry,Petroleum,24875402
1990,MA,Total Electric Power Industry,Natural Gas,63096070
1990,MA,Total Electric Power Industry,Other Gases (Billion BTU),18
1990,MA,"Electric Generators, Electric Utilities",Coal,4200841
1990,MA,"Electric Generators, Electric Utilities",Petroleum,23993318
1990,MA,"Electric Generators, Electric Utilities",Natural Gas,55225761
1990,MA,"Electric Generators, Independent Power Producers",Petroleum,21170
1990,MA,"Electric Generators, Independent Power Producers",Natural Gas,51150
1990,MA,"Combined Heat and Power, Electric Power",Coal,26138
1990,MA,"Combined Heat and Power, Electric Power",Petroleum,90902
1990,MA,"Combined Heat and Power, Electric Power",Natural Gas,4666942
1990,MA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),18
1990,MA,"Combined Heat and Power, Commercial Power",Petroleum,373011
1990,MA,"Combined Heat and Power, Commercial Power",Natural Gas,200542
1990,MA,"Combined Heat and Power, Industrial Power",Coal,11200
1990,MA,"Combined Heat and Power, Industrial Power",Petroleum,397001
1990,MA,"Combined Heat and Power, Industrial Power",Natural Gas,2951675
1990,MD,Total Electric Power Industry,Coal,9047268
1990,MD,Total Electric Power Industry,Petroleum,7241159
1990,MD,Total Electric Power Industry,Natural Gas,19580351
1990,MD,Total Electric Power Industry,Other Gases (Billion BTU),4907
1990,MD,"Electric Generators, Electric Utilities",Coal,8944682
1990,MD,"Electric Generators, Electric Utilities",Petroleum,6832381
1990,MD,"Electric Generators, Electric Utilities",Natural Gas,17535991
1990,MD,"Combined Heat and Power, Electric Power",Petroleum,366166
1990,MD,"Combined Heat and Power, Electric Power",Natural Gas,1753604
1990,MD,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),4907
1990,MD,"Combined Heat and Power, Commercial Power",Coal,26423
1990,MD,"Combined Heat and Power, Commercial Power",Petroleum,35402
1990,MD,"Combined Heat and Power, Industrial Power",Coal,76163
1990,MD,"Combined Heat and Power, Industrial Power",Petroleum,7210
1990,MD,"Combined Heat and Power, Industrial Power",Natural Gas,290756
1990,ME,Total Electric Power Industry,Coal,209972
1990,ME,Total Electric Power Industry,Petroleum,5242577
1990,ME,Total Electric Power Industry,Natural Gas,795136
1990,ME,"Electric Generators, Electric Utilities",Petroleum,3556550
1990,ME,"Electric Generators, Independent Power Producers",Petroleum,4050
1990,ME,"Electric Generators, Independent Power Producers",Natural Gas,194500
1990,ME,"Combined Heat and Power, Electric Power",Coal,127464
1990,ME,"Combined Heat and Power, Electric Power",Petroleum,19004
1990,ME,"Combined Heat and Power, Commercial Power",Coal,0
1990,ME,"Combined Heat and Power, Commercial Power",Petroleum,5820
1990,ME,"Combined Heat and Power, Industrial Power",Coal,82508
1990,ME,"Combined Heat and Power, Industrial Power",Petroleum,1657153
1990,ME,"Combined Heat and Power, Industrial Power",Natural Gas,600636
1990,MI,Total Electric Power Industry,Coal,30658028
1990,MI,Total Electric Power Industry,Petroleum,1716367
1990,MI,Total Electric Power Industry,Natural Gas,91487906
1990,MI,Total Electric Power Industry,Other Gases (Billion BTU),7050
1990,MI,"Electric Generators, Electric Utilities",Coal,29725964
1990,MI,"Electric Generators, Electric Utilities",Petroleum,1488387
1990,MI,"Electric Generators, Electric Utilities",Natural Gas,22999456
1990,MI,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
1990,MI,"Electric Generators, Independent Power Producers",Natural Gas,58830
1990,MI,"Combined Heat and Power, Electric Power",Coal,86371
1990,MI,"Combined Heat and Power, Electric Power",Petroleum,1237
1990,MI,"Combined Heat and Power, Electric Power",Natural Gas,55896053
1990,MI,"Combined Heat and Power, Commercial Power",Coal,59629
1990,MI,"Combined Heat and Power, Commercial Power",Petroleum,8858
1990,MI,"Combined Heat and Power, Commercial Power",Natural Gas,274386
1990,MI,"Combined Heat and Power, Industrial Power",Coal,786064
1990,MI,"Combined Heat and Power, Industrial Power",Petroleum,217885
1990,MI,"Combined Heat and Power, Industrial Power",Natural Gas,12259181
1990,MI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),7050
1990,MN,Total Electric Power Industry,Coal,17193155
1990,MN,Total Electric Power Industry,Petroleum,829597
1990,MN,Total Electric Power Industry,Natural Gas,7196351
1990,MN,"Electric Generators, Electric Utilities",Coal,16915517
1990,MN,"Electric Generators, Electric Utilities",Petroleum,819766
1990,MN,"Electric Generators, Electric Utilities",Natural Gas,5230567
1990,MN,"Electric Generators, Independent Power Producers",Natural Gas,77350
1990,MN,"Combined Heat and Power, Commercial Power",Petroleum,3065
1990,MN,"Combined Heat and Power, Commercial Power",Natural Gas,552061
1990,MN,"Combined Heat and Power, Industrial Power",Coal,277638
1990,MN,"Combined Heat and Power, Industrial Power",Petroleum,6766
1990,MN,"Combined Heat and Power, Industrial Power",Natural Gas,1336373
1990,MO,Total Electric Power Industry,Coal,24389831
1990,MO,Total Electric Power Industry,Petroleum,216092
1990,MO,Total Electric Power Industry,Natural Gas,3944518
1990,MO,"Electric Generators, Electric Utilities",Coal,24230511
1990,MO,"Electric Generators, Electric Utilities",Petroleum,214647
1990,MO,"Electric Generators, Electric Utilities",Natural Gas,3531989
1990,MO,"Combined Heat and Power, Commercial Power",Coal,101059
1990,MO,"Combined Heat and Power, Commercial Power",Petroleum,663
1990,MO,"Combined Heat and Power, Commercial Power",Natural Gas,23931
1990,MO,"Combined Heat and Power, Industrial Power",Coal,58261
1990,MO,"Combined Heat and Power, Industrial Power",Petroleum,782
1990,MO,"Combined Heat and Power, Industrial Power",Natural Gas,388598
1990,MS,Total Electric Power Industry,Coal,3912851
1990,MS,Total Electric Power Industry,Petroleum,1285200
1990,MS,Total Electric Power Industry,Natural Gas,73036347
1990,MS,"Electric Generators, Electric Utilities",Coal,3887656
1990,MS,"Electric Generators, Electric Utilities",Petroleum,1228383
1990,MS,"Electric Generators, Electric Utilities",Natural Gas,65168175
1990,MS,"Combined Heat and Power, Industrial Power",Coal,25195
1990,MS,"Combined Heat and Power, Industrial Power",Petroleum,56817
1990,MS,"Combined Heat and Power, Industrial Power",Natural Gas,7868172
1990,MT,Total Electric Power Industry,Coal,9572552
1990,MT,Total Electric Power Industry,Petroleum,66616
1990,MT,Total Electric Power Industry,Natural Gas,587869
1990,MT,"Electric Generators, Electric Utilities",Coal,9398852
1990,MT,"Electric Generators, Electric Utilities",Petroleum,63231
1990,MT,"Electric Generators, Electric Utilities",Natural Gas,417633
1990,MT,"Electric Generators, Independent Power Producers",Coal,173700
1990,MT,"Combined Heat and Power, Industrial Power",Petroleum,3385
1990,MT,"Combined Heat and Power, Industrial Power",Natural Gas,170236
1990,NC,Total Electric Power Industry,Coal,19401058
1990,NC,Total Electric Power Industry,Petroleum,690542
1990,NC,Total Electric Power Industry,Natural Gas,2928862
1990,NC,"Electric Generators, Electric Utilities",Coal,18004980
1990,NC,"Electric Generators, Electric Utilities",Petroleum,373251
1990,NC,"Electric Generators, Electric Utilities",Natural Gas,2461412
1990,NC,"Electric Generators, Independent Power Producers",Natural Gas,30950
1990,NC,"Combined Heat and Power, Electric Power",Coal,1181044
1990,NC,"Combined Heat and Power, Electric Power",Petroleum,7479
1990,NC,"Combined Heat and Power, Electric Power",Natural Gas,107190
1990,NC,"Combined Heat and Power, Industrial Power",Coal,215034
1990,NC,"Combined Heat and Power, Industrial Power",Petroleum,309812
1990,NC,"Combined Heat and Power, Industrial Power",Natural Gas,329310
1990,ND,Total Electric Power Industry,Coal,21631578
1990,ND,Total Electric Power Industry,Petroleum,90805
1990,ND,Total Electric Power Industry,Natural Gas,588882
1990,ND,"Electric Generators, Electric Utilities",Coal,21579237
1990,ND,"Electric Generators, Electric Utilities",Petroleum,56713
1990,ND,"Electric Generators, Electric Utilities",Natural Gas,1764
1990,ND,"Combined Heat and Power, Industrial Power",Coal,52341
1990,ND,"Combined Heat and Power, Industrial Power",Petroleum,34092
1990,ND,"Combined Heat and Power, Industrial Power",Natural Gas,587118
1990,NE,Total Electric Power Industry,Coal,8027846
1990,NE,Total Electric Power Industry,Petroleum,31360
1990,NE,Total Electric Power Industry,Natural Gas,3767748
1990,NE,"Electric Generators, Electric Utilities",Coal,8026897
1990,NE,"Electric Generators, Electric Utilities",Petroleum,31360
1990,NE,"Electric Generators, Electric Utilities",Natural Gas,3766333
1990,NE,"Combined Heat and Power, Industrial Power",Coal,949
1990,NE,"Combined Heat and Power, Industrial Power",Natural Gas,1415
1990,NH,Total Electric Power Industry,Coal,1146343
1990,NH,Total Electric Power Industry,Petroleum,4109098
1990,NH,Total Electric Power Industry,Natural Gas,0
1990,NH,"Electric Generators, Electric Utilities",Coal,1146343
1990,NH,"Electric Generators, Electric Utilities",Petroleum,4020072
1990,NH,"Electric Generators, Electric Utilities",Natural Gas,0
1990,NH,"Electric Generators, Independent Power Producers",Petroleum,2100
1990,NH,"Combined Heat and Power, Commercial Power",Petroleum,40476
1990,NH,"Combined Heat and Power, Industrial Power",Petroleum,46450
1990,NJ,Total Electric Power Industry,Coal,2739640
1990,NJ,Total Electric Power Industry,Petroleum,3915246
1990,NJ,Total Electric Power Industry,Natural Gas,72479013
1990,NJ,"Electric Generators, Electric Utilities",Coal,2739640
1990,NJ,"Electric Generators, Electric Utilities",Petroleum,3449710
1990,NJ,"Electric Generators, Electric Utilities",Natural Gas,47625400
1990,NJ,"Electric Generators, Independent Power Producers",Petroleum,490
1990,NJ,"Electric Generators, Independent Power Producers",Natural Gas,53890
1990,NJ,"Combined Heat and Power, Electric Power",Petroleum,63124
1990,NJ,"Combined Heat and Power, Electric Power",Natural Gas,16107163
1990,NJ,"Combined Heat and Power, Commercial Power",Petroleum,1889
1990,NJ,"Combined Heat and Power, Commercial Power",Natural Gas,560819
1990,NJ,"Combined Heat and Power, Industrial Power",Petroleum,400033
1990,NJ,"Combined Heat and Power, Industrial Power",Natural Gas,8131741
1990,NM,Total Electric Power Industry,Coal,15064983
1990,NM,Total Electric Power Industry,Petroleum,71190
1990,NM,Total Electric Power Industry,Natural Gas,29568523
1990,NM,"Electric Generators, Electric Utilities",Coal,15064983
1990,NM,"Electric Generators, Electric Utilities",Petroleum,69042
1990,NM,"Electric Generators, Electric Utilities",Natural Gas,25420085
1990,NM,"Combined Heat and Power, Electric Power",Natural Gas,31182
1990,NM,"Combined Heat and Power, Commercial Power",Natural Gas,198126
1990,NM,"Combined Heat and Power, Industrial Power",Petroleum,2148
1990,NM,"Combined Heat and Power, Industrial Power",Natural Gas,3919130
1990,NV,Total Electric Power Industry,Coal,7269557
1990,NV,Total Electric Power Industry,Petroleum,535063
1990,NV,Total Electric Power Industry,Natural Gas,24348267
1990,NV,"Electric Generators, Electric Utilities",Coal,7269557
1990,NV,"Electric Generators, Electric Utilities",Petroleum,535063
1990,NV,"Electric Generators, Electric Utilities",Natural Gas,24348267
1990,NY,Total Electric Power Industry,Coal,10527754
1990,NY,Total Electric Power Industry,Petroleum,55546783
1990,NY,Total Electric Power Industry,Natural Gas,236260412
1990,NY,Total Electric Power Industry,Other Gases (Billion BTU),2376
1990,NY,"Electric Generators, Electric Utilities",Coal,9992652
1990,NY,"Electric Generators, Electric Utilities",Petroleum,54815991
1990,NY,"Electric Generators, Electric Utilities",Natural Gas,223252884
1990,NY,"Electric Generators, Independent Power Producers",Natural Gas,423020
1990,NY,"Combined Heat and Power, Electric Power",Coal,113237
1990,NY,"Combined Heat and Power, Electric Power",Petroleum,65884
1990,NY,"Combined Heat and Power, Electric Power",Natural Gas,5101159
1990,NY,"Combined Heat and Power, Commercial Power",Coal,7112
1990,NY,"Combined Heat and Power, Commercial Power",Petroleum,70780
1990,NY,"Combined Heat and Power, Commercial Power",Natural Gas,966987
1990,NY,"Combined Heat and Power, Industrial Power",Coal,414753
1990,NY,"Combined Heat and Power, Industrial Power",Petroleum,594128
1990,NY,"Combined Heat and Power, Industrial Power",Natural Gas,6516362
1990,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),2376
1990,OH,Total Electric Power Industry,Coal,49145307
1990,OH,Total Electric Power Industry,Petroleum,738189
1990,OH,Total Electric Power Industry,Natural Gas,2888996
1990,OH,Total Electric Power Industry,Other Gases (Billion BTU),591
1990,OH,"Electric Generators, Electric Utilities",Coal,48848411
1990,OH,"Electric Generators, Electric Utilities",Petroleum,587591
1990,OH,"Electric Generators, Electric Utilities",Natural Gas,1253896
1990,OH,"Combined Heat and Power, Commercial Power",Coal,820
1990,OH,"Combined Heat and Power, Commercial Power",Petroleum,20200
1990,OH,"Combined Heat and Power, Commercial Power",Natural Gas,875652
1990,OH,"Combined Heat and Power, Industrial Power",Coal,296076
1990,OH,"Combined Heat and Power, Industrial Power",Petroleum,130398
1990,OH,"Combined Heat and Power, Industrial Power",Natural Gas,759448
1990,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),591
1990,OK,Total Electric Power Industry,Coal,15098121
1990,OK,Total Electric Power Industry,Petroleum,114084
1990,OK,Total Electric Power Industry,Natural Gas,178652956
1990,OK,Total Electric Power Industry,Other Gases (Billion BTU),825
1990,OK,"Electric Generators, Electric Utilities",Coal,14866194
1990,OK,"Electric Generators, Electric Utilities",Petroleum,86352
1990,OK,"Electric Generators, Electric Utilities",Natural Gas,168959810
1990,OK,"Combined Heat and Power, Electric Power",Coal,79772
1990,OK,"Combined Heat and Power, Electric Power",Natural Gas,6942076
1990,OK,"Combined Heat and Power, Commercial Power",Natural Gas,476046
1990,OK,"Combined Heat and Power, Industrial Power",Coal,152155
1990,OK,"Combined Heat and Power, Industrial Power",Petroleum,27732
1990,OK,"Combined Heat and Power, Industrial Power",Natural Gas,2275024
