Specific ID,Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code",AER Fuel Type Code,Reserved,Reserved,"Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December",Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),YEAR
2890,3437,N,,Eagle Pass,Maverick Cty Water Control & Improvement,54683,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26598,25069,24046,19393,22397,25557,29675,22397,31923,26266,22867,25566,26598,25069,24046,19393,22397,25557,29675,22397,31923,26266,22867,25566,2887,2721,2610,2105,2431,2774,3221,2431,3465,2851,2482,2775,0,0,301754,301754,32753,2017
2891,3439,N,,Laredo,"Topaz Power Group GP II, LLC",49979,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,GT,NG,NG,,,mcf,69416,61462,72842,72634,82985,107608,133625,124849,91792,80954,67272,86820,69416,61462,72842,72634,82985,107608,133625,124849,91792,80954,67272,86820,1,1,1,1,1,1,1,1,1,1,1,1,72887,64535,76484,76266,87134,112988,140306,131091,96382,85002,70636,91161,72887,64535,76484,76266,87134,112988,140306,131091,96382,85002,70636,91161,7373,6528,7737,7715,8814,11430,14193,13261,9750,8599,7145,9222,1052259,1052259,1104872,1104872,111766,2017
2892,3441,N,,Nueces Bay,"Topaz Power Group GP II, LLC",49979,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,CA,NG,NG,,,mcf,2868,2900,14705,20047,0,36345,157834,137593,74213,69831,20357,1366,2868,2900,14705,20047,0,36345,157834,137593,74213,69831,20357,1366,1,1,1,1,0,1,1,1,1,1,1,1,3011,3016,15293,20849,0,37435,162569,141721,76439,71926,20968,1407,3011,3016,15293,20849,0,37435,162569,141721,76439,71926,20968,1407,295,285,1211,2366,0,4477,17304,15259,8567,8309,2822,145,538059,538059,554634,554634,61040,2017
2893,3441,N,,Nueces Bay,"Topaz Power Group GP II, LLC",49979,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,CT,NG,NG,,,mcf,157321,129573,364376,583424,0,470270,1397139,1106644,1138973,1370449,786078,189640,157321,129573,364376,583424,0,470270,1397139,1106644,1138973,1370449,786078,189640,1,1,1,1,0,1,1,1,1,1,1,1,165187,134756,378951,606761,0,484378,1439053,1139843,1173142,1411562,809660,195329,165187,134756,378951,606761,0,484378,1439053,1139843,1173142,1411562,809660,195329,20475,16589,50264,79441,0,64486,199338,154733,167910,182312,104945,21352,7693887,7693887,7938622,7938622,1061845,2017
2894,3443,N,,Victoria,"Victoria WLE, LP",60638,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,CA,NG,NG,,,mcf,0,0,2089,13547,3024,8309,48209,38322,0,0,0,3111,0,0,2089,13547,3024,8309,48209,38322,0,0,0,3111,0,0,1,1,1,1,1,1,0,0,0,1,0,0,2145,13899,3100,8533,49752,39472,0,0,0,3189,0,0,2145,13899,3100,8533,49752,39472,0,0,0,3189,2669,0,9288,21045,20681,36127,54677,41360,0,0,360,12012,116611,116611,120090,120090,198219,2017
2895,3443,N,,Victoria,"Victoria WLE, LP",60638,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,CT,NG,NG,,,mcf,63658,0,226085,427989,444986,788728,1077551,792581,0,0,13118,277319,63658,0,226085,427989,444986,788728,1077551,792581,0,0,13118,277319,1,0,1,1,1,1,1,1,0,0,1,1,66586,0,232189,439117,456111,810024,1112033,816358,0,0,13603,284252,66586,0,232189,439117,456111,810024,1112033,816358,0,0,13603,284252,5359,0,18326,36705,38031,67256,95240,70279,0,0,917,22595,4112015,4112015,4230273,4230273,354708,2017
2896,3452,N,,Lake Hubbard,Luminant Generation Company LLC,55983,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
2897,3452,N,,Lake Hubbard,Luminant Generation Company LLC,55983,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,NG,NG,,,mcf,8750,15858,56458,91,65739,323196,978081,254854,110281,83381,71856,1632,8750,15858,56458,91,65739,323196,978081,254854,110281,83381,71856,1632,1,1,1,1,1,1,1,1,1,1,1,1,8899,16017,57079,94,66659,329014,993730,257148,113589,84382,72790,1656,8899,16017,57079,94,66659,329014,993730,257148,113589,84382,72790,1656,559,675,4316,0,5090,28265,89416,21603,9983,7070,5289,0,1970177,1970177,2001057,2001057,172266,2017
2898,3453,N,,Mountain Creek,Exelon Power,6035,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,NG,NG,,,mcf,52862,0,41145,58123,34521,288245,1278603,69995,306027,43394,57014,0,52862,0,41145,58123,34521,288245,1278603,69995,306027,43394,57014,0,1,0,1,1,1,1,1,1,1,1,1,0,54712,0,42585,60157,35729,298334,1323354,72445,316738,44913,59009,0,54712,0,42585,60157,35729,298334,1323354,72445,316738,44913,59009,0,3690,0,2781,3997,2047,24628,108259,4869,25121,2890,4614,0,2229929,2229929,2307976,2307976,182896,2017
2899,3453,N,,Mountain Creek,Exelon Power,6035,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,RFO,RFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
